No.;nr_lokasi;nr_plot;nr_class;nr_ind;ID_ind;name_sp;nr_circ;nr_dbh;nr_basalarea;canopy_openness;canopy_closedness;canopy_class;nr_FW;nr_DW;sample_extract;sample_la;ft_la;la_sum;ft_sla;ft_ldmc;sample_stomata;ft_stomata;517nm;dpph_batch;dpph_blank;dpph_rsa;dpph_content;ft_dpph;ft_dpphrsa;520nm;proline_sample;proline_content;ft_proline;663nm;645nm;470nm;chla_sample;chlb_sample;totalchl_sample;chla_content;chlb_content;totalchl_content;ft_chla;ft_chlb;ft_totalchl
138;Wanariset;5;1;104;W.05.1.104;Diospyros borneensis;;0.46;0.166106;0.122;0.857;Closed;6.77;2.82;FALSE;TRUE;1,238,875;495.55;175.73;0.4165;TRUE;28;0.004;109;0.272;98.53;246,325;246,325;98.53;0.038;2,235,294,118;2,235,294,118;2,235,294,118;0.795;0.568;2,118;8.57;9.29;17.85;0.856858;0.92866;178,495;0.856858;0.92866;178,495
139;Wanariset;5;1;74;W.05.1.074;Monoon sp.;;0.41;0.1319585;0.122;0.857;Closed;4.18;1.77;FALSE;TRUE;78,786;393.93;222.56;0.4234;TRUE;76;0.224;108;0.272;17.65;44,125;44,125;17.65;0.154;9,058,823,529;9,058,823,529;9,058,823,529;2,178;1,226;3,058;24.36;17.88;42.23;2,436,266;1,788,236;4,223,276;2,436,266;1,788,236;4,223,276
140;Wanariset;5;1;92;W.05.1.092;Rubiaceae3;;0.52;0.212264;0.122;0.857;Closed;8.38;2.35;FALSE;TRUE;69,258;346.29;147.36;0.2804;TRUE;65;0.279;108;0.272;-2.57;-0.6425;0;0;0.089;5,235,294,118;5,235,294,118;5,235,294,118;1,508;0.62;1,351;17.48;7.14;24.62;174,838;0.714056;2,461,816;174,838;0.714056;2,461,816
141;Wanariset;5;2;20;W.05.2.020;Syzygium sp1;;1.28;1,286,144;0.122;0.857;Closed;6.41;3.03;FALSE;TRUE;71,986;359.93;118.79;0.4727;TRUE;127;0.126;107;0.575;78.09;195,225;195,225;78.09;0.138;8,117,647,059;8,117,647,059;8,117,647,059;0.517;0.264;0.749;5.86;3.63;9.48;0.585574;0.362604;0.947914;0.585574;0.362604;0.947914
142;Wanariset;5;2;31;W.05.2.031;Trigonostemon villosus;;0.77;0.4654265;0.122;0.857;Closed;18.94;5.6;FALSE;TRUE;186.86;560.58;100.10;0.2957;TRUE;164;;;0.443;100;25;25;100;;0;0;0;;;;0.00;0.00;0.00;0;0;0;0;0;0
143;Wanariset;5;2;40;W.05.2.040;Aporosa subcaudata;;0.85;0.5671625;0.122;0.857;Closed;5.93;2.34;FALSE;TRUE;70,192;350.96;149.98;0.3946;FALSE;;0.322;108;0.272;-18.38;-4,595;0;0;0.076;4,470,588,235;4,470,588,235;4,470,588,235;0.695;0.249;0.584;8.16;2.45;10.60;0.815669;0.24495;106,037;0.815669;0.24495;106,037
144;Wanariset;5;2;38;W.05.2.038;Macaranga lowii;;0.88;0.607904;0.122;0.857;Closed;6.33;2.96;FALSE;TRUE;85.55;427.75;144.51;0.4676;TRUE;5;0.329;108;0.272;-20.96;-5.24;0;0;0.045;2,647,058,824;2,647,058,824;2,647,058,824;1,729;0.894;2,735;19.55;12.38;31.93;1,955,344;1,238,088;3,192,538;1,955,344;1,238,088;3,192,538
145;Wanariset;5;2;61;W.05.2.061;Antidesma neurocarpum;;1.31;13,471,385;0.122;0.857;Closed;4.2;1.43;FALSE;TRUE;27,506;137.53;96.17;0.3405;FALSE;;0.434;111;0.279;-55.56;-13.89;0;0;0.016;0.9411764706;9,411,764,706;9,411,764,706;0.732;0.495;1,421;7.96;7.91;15.87;0.796485;0.790974;1,586,964;0.796485;0.790974;1,586,964
146;Wanariset;5;2;81;W.05.2.081;Camellia lanceolata;;1.09;0.9326585;0.122;0.857;Closed;3.13;1.07;FALSE;TRUE;30,888;154.44;144.34;0.3419;TRUE;38;0.383;111;0.279;-37.28;-9.32;0;0;-0.012;-0.7058823529;-7,058,823,529;0;0.6;0.297;0.953;6.82;3.99;10.81;0.682107;0.39933;108,114;0.682107;0.39933;108,114
147;Wanariset;5;2;86;W.05.2.086;Vatica umbonata;;4.55;162,514,625;0.122;0.857;Closed;8.86;4.17;FALSE;TRUE;86,676;433.38;103.93;0.4707;TRUE;111;0.042;112;0.285;85.26;21,315;21,315;85.26;0.107;6,294,117,647;6,294,117,647;6,294,117,647;0.61;0.293;1,157;6.96;3.85;10.81;0.695883;0.38549;108,108;0.695883;0.38549;108,108
